building,location,country,architect,year,photo
Aska,Bali,Indonesia,J.Bergougnoux,2013,130820-photographer-rocco-marosi-4673
Aska,Bali,Indonesia,J.Bergougnoux,2013,130820-photographer-rocco-marosi-4670
Aska,Bali,Indonesia,J.Bergougnoux,2013,130820-photographer-rocco-marosi-4675
Castaway,Bali,Indonesia,Landi Designs,2012,120607-photographer-rocco-marosi-1042
Castaway,Bali,Indonesia,Landi Designs,2012,120719-photographer-rocco-marosi-castaway-02
Aska,Bali,Indonesia,J.Bergougnoux,2013,130820-photographer-rocco-marosi-4719
Aska,Bali,Indonesia,J.Bergougnoux,2013,130820-photographer-rocco-marosi-4717
Aska,Bali,Indonesia,J.Bergougnoux,2013,130821-photographer-rocco-marosi-4829
Aska,Bali,Indonesia,J.Bergougnoux,2013,130820-photographer-rocco-marosi-4710
Aska,Bali,Indonesia,J.Bergougnoux,2013,130821-photographer-rocco-marosi-4841
Aska,Bali,Indonesia,J.Bergougnoux,2013,130821-photographer-rocco-marosi-4846
Aska,Bali,Indonesia,J.Bergougnoux,2013,130821-photographer-rocco-marosi-4751
Aska,Bali,Indonesia,J.Bergougnoux,2013,130821-photographer-rocco-marosi-4871
Dojo,Bali,Indonesia,J.Bergougnoux,2013,130818-photographer-rocco-marosi-4583
Dojo,Bali,Indonesia,J.Bergougnoux,2013,130818-photographer-rocco-marosi-4589
Dojo,Bali,Indonesia,J.Bergougnoux,2013,130818-photographer-rocco-marosi-4580
Muchmore,Bali,Indonesia,Landi Designs,2013,130622-photographer-rocco-marosi-3342
Muchmore,Bali,Indonesia,Landi Designs,2013,130622-photographer-rocco-marosi-3209
Muchmore,Bali,Indonesia,Landi Designs,2013,130616-photographer-rocco-marosi-3002
Muchmore,Bali,Indonesia,Landi Designs,2013,130625-photographer-rocco-marosi-3425
Muchmore,Bali,Indonesia,Landi Designs,2013,130622-photographer-rocco-marosi-3021
Muchmore,Bali,Indonesia,Landi Designs,2013,130625-photographer-rocco-marosi-3457
Muchmore,Bali,Indonesia,Landi Designs,2013,130625-photographer-rocco-marosi-3440
Muchmore,Bali,Indonesia,Landi Designs,2013,130625-photographer-rocco-marosi-3451
Muchmore,Bali,Indonesia,Landi Designs,2012,120521-photographer-rocco-marosi-0588
Muchmore,Bali,Indonesia,Landi Designs,2013,130616-photographer-rocco-marosi-2991
Muchmore,Bali,Indonesia,Landi Designs,2012,120521-photographer-rocco-marosi-0448
Muchmore,Bali,Indonesia,Landi Designs,2013,130616-photographer-rocco-marosi-3026
Muchmore,Bali,Indonesia,Landi Designs,2013,130622-photographer-rocco-marosi-3224
Muchmore,Bali,Indonesia,Landi Designs,2013,130622-photographer-rocco-marosi-3354
Muchmore,Bali,Indonesia,Landi Designs,2013,130622-photographer-rocco-marosi-3347
Muchmore,Bali,Indonesia,Landi Designs,2013,130616-photographer-rocco-marosi-2892
Muchmore,Bali,Indonesia,Landi Designs,2013,120602-photographer-rocco-marosi-0742
Muchmore,Bali,Indonesia,Landi Designs,2013,130616-photographer-rocco-marosi-3071
Interlace,Singapore,,Ole Scheeren,2013,130729-photographer-rocco-marosi-4315
Layar,Bali,Indonesia,GM architects,2008,081111-photographer-rocco-marosi-2310
Layar,Bali,Indonesia,GM architects,2008,081111-photographer-rocco-marosi-2292
Layar,Bali,Indonesia,GM architects,2008,081111-photographer-rocco-marosi-2247
